Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/03  01:00:00,117.874247355,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  02:00:00,117.867771809,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  03:00:00,117.863243961,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  04:00:00,117.858997624,0.0,0.0,0.0,43.513341876,52.539744,13.4525755379,0.0,4.83426,8.61831553792
 01/03  05:00:00,120.111978196,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  06:00:00,119.720828837,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  07:00:00,195.453621932,75.7303620347,0.0,0.0,43.513341876,53.238744,637.914703085,633.060443085,4.83426,0.02
 01/03  08:00:00,354.456896054,75.7303620347,0.0,0.0,220.879908,53.238744,588.27628728,557.13356483,4.83426,26.3084624499
 01/03  09:00:00,454.010411606,75.7303620347,7.01816951885,0.0,220.879908,145.652643033,345.948074923,283.203027702,36.25695,26.4880972214
 01/03  10:00:00,498.6970995,75.7303620347,50.8345616048,0.0,220.879908,145.652643033,267.061967487,186.214334501,36.25695,44.5906829857
 01/03  11:00:00,525.395351384,75.7303620347,71.2321293664,0.0,220.879908,151.653867033,241.013974294,156.950205217,48.3426,35.7211690764
 01/03  12:00:00,554.58667107,75.7396394719,99.1175421458,0.0,220.879908,151.653867033,189.936451558,96.7843241015,48.3426,44.8095274567
 01/03  13:00:00,612.513039386,76.7013737343,156.288681602,0.0,220.879908,151.653867033,145.661708133,43.3948739282,48.3426,53.9242342045
 01/03  14:00:00,654.211923791,78.0232683084,202.361086464,0.0,220.879908,145.652643033,93.8660107527,24.6804864971,24.1713,45.0142242556
 01/03  15:00:00,664.28920901,78.1546772465,212.323954031,0.0,220.879908,145.652643033,90.474293745,21.6957144666,24.1713,44.6072792784
 01/03  16:00:00,610.350379275,76.8222035285,167.960369367,0.0,220.879908,137.835547516,93.5781655078,44.0600014991,4.83426,44.6839040086
 01/03  17:00:00,540.505074335,75.7926672264,101.886673911,0.0,220.879908,133.019064,57.2736061941,25.8249484504,4.83426,26.6143977437
 01/03  18:00:00,449.733191987,75.7303620347,76.3193923511,0.0,220.879908,53.238744,107.908742916,67.6002420225,4.83426,35.4742408936
 01/03  19:00:00,424.038031439,75.7303620347,50.9913084059,0.0,220.879908,53.238744,131.941182219,91.5041378363,4.83426,35.6027843825
 01/03  20:00:00,381.315854051,75.7303620347,9.00540077249,0.0,220.879908,53.238744,170.507657108,148.32160288,4.83426,17.3517942283
 01/03  21:00:00,372.141269847,75.7303620347,0.0,0.0,220.879908,53.238744,205.98871703,192.478583048,4.83426,8.67587398259
 01/03  22:00:00,117.740720336,0.0,0.0,0.0,43.513341876,52.539744,13.5094659803,0.0,4.83426,8.67520598031
 01/03  23:00:00,117.76069684,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  24:00:00,118.710970486,0.0,0.0,0.0,43.513341876,52.539744,13.4661257053,0.0,4.83426,8.63186570532
 01/04  01:00:00,117.770482669,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  02:00:00,117.742700801,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  03:00:00,117.721946537,0.0,0.0,0.0,43.513341876,52.539744,13.4525898309,0.0,4.83426,8.61832983093
