https://openei.org/datasets/files/961/pub/COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT/USA_CA_Los.Angeles.Intl.AP.722950_TMY3/RefBldgSecondarySchoolNew2004_7.1_5.0_3B_USA_CA_LOS_ANGELES.csv
Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  14:00:00,450.050899491,70.3382633691,8.12497257105,0.0,220.879908,145.652643033,268.445450062,199.510146841,24.1713,44.7640032211
 01/02  15:00:00,473.687270058,70.3629259944,31.4654000579,0.0,220.879908,145.652643033,209.453319998,149.754346088,24.1713,35.5276739093
 01/02  16:00:00,460.960155209,70.3480679919,26.8892398651,0.0,220.879908,137.835547516,189.126225253,148.707496966,4.83426,35.5844682872
 01/02  17:00:00,435.684253439,70.3382633691,1.20243322515,0.0,220.879908,133.019064,156.018732232,115.852102833,4.83426,35.3323693981
 01/02  18:00:00,366.675632115,70.3382633691,0.0,0.0,220.879908,53.238744,348.795316608,317.454335764,4.83426,26.506720844
 01/02  19:00:00,366.761465993,70.3382633691,0.0,0.0,220.879908,53.238744,426.012859617,385.733874527,4.83426,35.44472509
 01/02  20:00:00,367.237976867,70.3382633691,0.0,0.0,220.879908,53.238744,436.507630836,422.99693992,4.83426,8.67643091615
 01/02  21:00:00,367.284840826,70.3382633691,0.0,0.0,220.879908,53.238744,460.366680473,446.865067679,4.83426,8.66735279469
 01/02  22:00:00,117.843598414,0.0,0.0,0.0,43.513341876,52.539744,13.5013829461,0.0,4.83426,8.66712294612
 01/02  23:00:00,117.620479067,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  24:00:00,118.63563807,0.0,0.0,0.0,43.513341876,52.539744,13.4624851455,0.0,4.83426,8.62822514546
 01/03  01:00:00,117.67924016,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  02:00:00,117.676607087,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  03:00:00,117.672391786,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  04:00:00,117.66814325,0.0,0.0,0.0,43.513341876,52.539744,13.4505753504,0.0,4.83426,8.61631535038
 01/03  05:00:00,119.780834699,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  06:00:00,119.441283141,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  07:00:00,190.581176586,70.3382633691,0.0,0.0,43.513341876,53.238744,1027.80889792,1022.95463792,4.83426,0.02
 01/03  08:00:00,352.46718261,70.3382633691,0.0,0.0,220.879908,53.238744,893.996253674,862.920004947,4.83426,26.2419887267
 01/03  09:00:00,441.886291963,70.3382633691,0.001592689127,0.0,220.879908,145.652643033,757.220051955,694.566086036,36.25695,26.3970159192
 01/03  10:00:00,441.940021511,70.3382633691,0.0,0.0,220.879908,145.652643033,763.207637662,691.436537671,36.25695,35.5141499904
 01/03  11:00:00,447.95987545,70.3382633691,0.00154400075671,0.0,220.879908,151.653867033,751.943091443,668.046494723,48.3426,35.5539967198
 01/03  12:00:00,448.925205937,70.3382633691,0.0,0.0,220.879908,151.653867033,663.603990515,579.588559655,48.3426,35.6728308602
 01/03  13:00:00,448.000823031,70.3382633691,0.0,0.0,220.879908,151.653867033,631.541260187,538.503718066,48.3426,44.6949421215
 01/03  14:00:00,441.9105074,70.3382633691,0.0,0.0,220.879908,145.652643033,590.044470379,521.111849142,24.1713,44.7613212366
 01/03  15:00:00,441.965815843,70.3382633691,0.0,0.0,220.879908,145.652643033,597.520032743,537.815075427,24.1713,35.5336573165
 01/03  16:00:00,434.188024642,70.3429241924,0.0,0.0,220.879908,137.835547516,541.436726096,501.020796507,4.83426,35.5816695882
 01/03  17:00:00,432.115546549,70.3382633691,0.0,0.0,220.879908,133.019064,413.186774627,381.846642078,4.83426,26.5058725492
 01/03  18:00:00,367.267457403,70.3382633691,0.0,0.0,220.879908,53.238744,500.355914411,460.189960184,4.83426,35.3316942262
 01/03  19:00:00,367.266714768,70.3382633691,0.0,0.0,220.879908,53.238744,523.205844045,482.92547308,4.83426,35.4461109649
 01/03  20:00:00,367.23297073,70.3382633691,0.0,0.0,220.879908,53.238744,515.233998928,501.72299418,4.83426,8.67674474771
 01/03  21:00:00,367.226153181,70.3382633691,0.0,0.0,220.879908,53.238744,525.081764508,511.579979609,4.83426,8.66752489888
 01/03  22:00:00,117.584163742,0.0,0.0,0.0,43.513341876,52.539744,13.501560336,0.0,4.83426,8.66730033596
 01/03  23:00:00,117.662567116,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  24:00:00,118.653399789,0.0,0.0,0.0,43.513341876,52.539744,13.4624853303,0.0,4.83426,8.62822533027
 01/04  01:00:00,117.703665997,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  02:00:00,117.70004501,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  03:00:00,117.694741929,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  04:00:00,117.683273757,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  05:00:00,118.108716911,0.0,0.0,0.0,43.513341876,52.539744,13.4507418985,0.0,4.83426,8.61648189847
 01/04  06:00:00,118.074931786,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  07:00:00,189.901786045,70.3382633691,0.0,0.0,43.513341876,53.238744,1052.20064014,1047.34638014,4.83426,0.02
 01/04  08:00:00,352.507616085,70.3382633691,0.0,0.0,220.879908,53.238744,938.903801523,916.567648901,4.83426,17.501892622
 01/04  09:00:00,441.911580459,70.3382633691,0.001690153433,0.0,220.879908,145.652643033,770.075678298,707.415607784,36.25695,26.4031205146
 01/04  10:00:00,441.976316353,70.3382633691,0.00249088388852,0.0,220.879908,145.652643033,711.467252676,639.690138826,36.25695,35.5201638496
 01/04  11:00:00,447.999137997,70.3382633691,0.00159271775885,0.0,220.879908,151.653867033,695.914235579,606.450895507,48.3426,41.1207400716
 01/04  12:00:00,448.939744193,70.3382633691,0.0,0.0,220.879908,151.653867033,634.759806283,547.411952231,48.3426,39.0052540525
 01/04  13:00:00,447.670453218,70.3382633691,0.0,0.0,220.879908,151.653867033,533.511188315,440.474289593,48.3426,44.6942987218
 01/04  14:00:00,441.604940077,70.3382633691,0.0,0.0,220.879908,145.652643033,512.666257246,443.732664093,24.1713,44.7622931535
 01/04  15:00:00,441.613927025,70.3630994504,0.0,0.0,220.879908,145.652643033,496.897920792,437.19623548,24.1713,35.5303853116
 01/04  16:00:00,433.755757733,70.4025259126,0.0,0.0,220.879908,137.835547516,408.791103703,368.371720157,4.83426,35.5851235457
 01/04  17:00:00,431.621640487,70.3382633691,0.0,0.0,220.879908,133.019064,282.772872784,251.433792783,4.83426,26.5048200008
 01/04  18:00:00,366.823051851,70.3382633691,0.0,0.0,220.879908,53.238744,401.441967523,361.274997168,4.83426,35.3327103549
 01/04  19:00:00,366.86944434,70.3382633691,0.0,0.0,220.879908,53.238744,418.673125342,387.250006237,4.83426,26.5888591043
 01/04  20:00:00,367.349894805,70.3382633691,0.0,0.0,220.879908,53.238744,444.989164148,422.822208469,4.83426,17.3326956784
 01/04  21:00:00,367.392018752,70.3382633691,0.0,0.0,220.879908,53.238744,449.570430844,444.716170844,4.83426,0.02
 01/04  22:00:00,117.942118635,0.0,0.0,0.0,43.513341876,52.539744,13.5022563051,0.0,4.83426,8.66799630511
 01/04  23:00:00,117.70395396,0.0,0.0,0.0,43.513341876,52.539744,13.4716377161,0.0,4.83426,8.63737771612
 01/04  24:00:00,118.680972691,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  01:00:00,117.752610937,0.0,0.0,0.0,43.513341876,52.539744,13.4504933103,0.0,4.83426,8.6162333103
 01/05  02:00:00,117.740226195,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  03:00:00,117.729242856,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  04:00:00,117.717744623,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  05:00:00,118.143098437,0.0,0.0,0.0,43.513341876,52.539744,13.4506252522,0.0,4.83426,8.61636525224
 01/05  06:00:00,118.115847873,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  07:00:00,189.739408934,70.3382633691,0.0,0.0,43.513341876,53.238744,871.546339241,866.692079241,4.83426,0.02
 01/05  08:00:00,352.424842271,70.3382633691,0.0,0.0,220.879908,53.238744,793.14523029,770.811355139,4.83426,17.4996151506
 01/05  09:00:00,441.946803167,70.3382633691,0.00177883941819,0.0,220.879908,145.652643033,674.276784355,611.617765888,36.25695,26.4020684675
 01/05  10:00:00,441.880655082,70.3382633691,0.0,0.0,220.879908,145.652643033,619.028509549,547.253105852,36.25695,35.518453697
 01/05  11:00:00,447.598022068,70.3382633691,0.00178861327745,0.0,220.879908,151.653867033,543.92446531,460.024011705,48.3426,35.557853605
 01/05  12:00:00,448.424838912,70.3382633691,0.0,0.0,220.879908,151.653867033,457.306997995,364.376256247,48.3426,44.5881417483
 01/05  13:00:00,447.52966965,70.3615234986,0.0,0.0,220.879908,151.653867033,435.972097237,342.931277528,48.3426,44.6982197096
 01/05  14:00:00,441.63899473,70.4514330706,0.0,0.0,220.879908,145.652643033,393.058118285,324.123199126,24.1713,44.7636191589
 01/05  15:00:00,441.828824313,70.652930777,0.0,0.0,220.879908,145.652643033,350.343210294,290.643200409,24.1713,35.5287098854
 01/05  16:00:00,434.117292514,70.8004991832,0.0,0.0,220.879908,137.835547516,304.524533582,264.106825063,4.83426,35.5834485192
 01/05  17:00:00,431.590932135,70.3423394408,0.0,0.0,220.879908,133.019064,192.731499447,161.389465831,4.83426,26.5077736164
 01/05  18:00:00,366.742968959,70.3382633691,0.0,0.0,220.879908,53.238744,299.040012089,258.868591864,4.83426,35.3371602259
 01/05  19:00:00,366.770998399,70.3382633691,0.0,0.0,220.879908,53.238744,341.24905369,309.822596496,4.83426,26.5921971942
 01/05  20:00:00,367.184997651,70.3382633691,0.0,0.0,220.879908,53.238744,350.564004835,337.053575523,4.83426,8.67616931157
 01/05  21:00:00,367.155183861,70.3382633691,0.0,0.0,220.879908,53.238744,358.833801194,345.331846235,4.83426,8.66769495853
 01/05  22:00:00,117.974216981,0.0,0.0,0.0,43.513341876,52.539744,13.5002751625,0.0,4.83426,8.66601516245
 01/05  23:00:00,117.736856904,0.0,0.0,0.0,43.513341876,52.539744,13.4717831172,0.0,4.83426,8.63752311723
 01/05  24:00:00,118.6961418,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  01:00:00,117.781360267,0.0,0.0,0.0,43.513341876,52.539744,13.450566434,0.0,4.83426,8.616306434
 01/06  02:00:00,117.782891787,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  03:00:00,117.770168482,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  04:00:00,117.759851964,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  05:00:00,119.876544686,0.0,0.0,0.0,43.513341876,52.539744,13.4507017324,0.0,4.83426,8.61644173241
 01/06  06:00:00,119.544955948,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  07:00:00,190.089554287,70.3382633691,0.0,0.0,43.513341876,53.238744,774.228976237,769.374716237,4.83426,0.02
 01/06  08:00:00,352.07675547,70.3382633691,0.0,0.0,220.879908,53.238744,682.837403521,660.502021056,4.83426,17.5011224651
 01/06  09:00:00,441.482181581,70.3382633691,0.00190005665526,0.0,220.879908,145.652643033,544.284537935,481.628132671,36.25695,26.399455264
 01/06  10:00:00,441.553928886,70.411149056,0.00261827147664,0.0,220.879908,145.652643033,454.610010749,382.835639328,36.25695,35.517421421
 01/06  11:00:00,453.809148208,70.8822401163,5.67685223087,0.0,220.879908,151.653867033,351.521641002,267.622319404,48.3426,35.5567215979
 01/06  12:00:00,489.196541679,72.0935220056,38.2702640973,0.0,220.879908,151.653867033,241.196322301,148.266831247,48.3426,44.5868910536
 01/06  13:00:00,532.875617861,74.0921637496,80.2041515016,0.0,220.879908,151.653867033,185.356166618,92.3161143547,48.3426,44.6974522629
 01/06  14:00:00,591.043063597,76.1492700022,141.687401942,0.0,220.879908,145.652643033,109.995300314,46.6893340603,24.1713,39.1346662541
 01/06  15:00:00,652.055533094,77.5616730873,200.843292374,0.0,220.879908,145.652643033,72.3066584988,7.0228220413,24.1713,41.1125364575
 01/06  16:00:00,641.345785297,77.3142339229,198.306810059,0.0,220.879908,137.835547516,52.0541183145,11.6367699448,4.83426,35.5830883697
 01/06  17:00:00,549.256100044,72.1759091565,114.188191397,0.0,220.879908,133.019064,51.3966517087,20.0550336513,4.83426,26.5073580574
 01/06  18:00:00,397.446034531,70.6081925467,29.9017390825,0.0,220.879908,53.238744,126.126066928,85.9544240799,4.83426,35.3373828484
 01/06  19:00:00,366.858378874,70.4464441517,0.0,0.0,220.879908,53.238744,206.365110334,174.939002966,4.83426,26.5918473681
 01/06  20:00:00,366.864178085,70.376706737,0.0,0.0,220.879908,53.238744,350.745848116,337.23682129,4.83426,8.67476682582
 01/06  21:00:00,366.990833191,70.3408867777,0.0,0.0,220.879908,53.238744,444.582180517,431.080453115,4.83426,8.66746740186
 01/06  22:00:00,117.633389702,0.0,0.0,0.0,43.513341876,52.539744,13.5023325046,0.0,4.83426,8.6680725046
 01/06  23:00:00,117.697734887,0.0,0.0,0.0,43.513341876,52.539744,13.4715479553,0.0,4.83426,8.63728795535
 01/06  24:00:00,118.67104377,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  01:00:00,117.716175257,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  02:00:00,117.716600038,0.0,0.0,0.0,43.513341876,52.539744,13.4447251506,0.0,4.83426,8.61046515057
 01/07  03:00:00,117.702240105,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  04:00:00,117.66849673,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  05:00:00,118.096193353,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  06:00:00,118.071789318,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  07:00:00,118.104659781,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  08:00:00,103.04112592,0.0,0.0,0.0,43.513341876,52.539744,13.4445884351,0.0,4.83426,8.61032843514
 01/07  09:00:00,100.054082515,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  10:00:00,100.122630444,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  11:00:00,100.166459862,0.0,0.0,0.0,43.513341876,52.539744,13.5368203994,0.0,4.83426,8.70256039938
 01/07  12:00:00,101.03031844,0.0,0.0,0.0,43.513341876,52.539744,13.4803681321,0.0,4.83426,8.64610813212
 01/07  13:00:00,100.194698851,0.0,0.0,0.0,43.513341876,52.539744,13.4803844675,0.0,4.83426,8.6461244675
 01/07  14:00:00,100.305114059,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  15:00:00,100.323837246,0.0,0.0,0.0,43.513341876,52.539744,13.4744111475,0.0,4.83426,8.64015114745
 01/07  16:00:00,100.277576273,0.0,0.0,0.0,43.513341876,52.539744,13.4742162648,0.0,4.83426,8.63995626479
 01/07  17:00:00,103.054194922,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  18:00:00,117.968608791,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  19:00:00,117.950162655,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  20:00:00,118.341028176,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  21:00:00,118.249322664,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  22:00:00,118.019948744,0.0,0.0,0.0,43.513341876,52.539744,31.1429566712,0.0,4.83426,26.3086966712
 01/07  23:00:00,117.672043564,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  24:00:00,118.572859261,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  01:00:00,117.655005479,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  02:00:00,117.656587688,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  03:00:00,117.65376758,0.0,0.0,0.0,43.513341876,52.539744,13.4446426437,0.0,4.83426,8.61038264369
 01/08  04:00:00,117.650838484,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  05:00:00,118.070153483,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  06:00:00,118.035135295,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  07:00:00,118.061596142,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  08:00:00,102.973154562,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  09:00:00,99.9817625345,0.0,0.0,0.0,43.513341876,52.539744,13.4506417411,0.0,4.83426,8.61638174111
 01/08  10:00:00,100.037493748,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  11:00:00,100.065331951,0.0,0.0,0.0,43.513341876,52.539744,13.536449877,0.0,4.83426,8.70218987699
 01/08  12:00:00,100.925951502,0.0,0.0,0.0,43.513341876,52.539744,13.4807585691,0.0,4.83426,8.64649856908
 01/08  13:00:00,100.036820301,0.0,0.0,0.0,43.513341876,52.539744,13.4807779992,0.0,4.83426,8.64651799915
 01/08  14:00:00,100.10155358,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
